transaction_id,user_id,transaction_date,package,amount_usd,credits_purchased
52,8460,2026-01-25,Mini,4.99,50
53,694,2026-08-21,Creator,49.99,700
54,6553,2026-03-17,Creator,49.99,700
55,13083,2026-06-30,Pro,99.99,1600
56,3967,2026-03-22,Max,199.99,3500
57,644,2026-02-06,Popular,24.99,300
58,3632,2026-01-24,Pro,99.99,1600
59,4051,2026-01-28,Starter,9.99,110
60,3841,2026-03-19,Mini,4.99,50
61,5061,2026-06-23,Creator,49.99,700
62,9611,2026-06-12,Popular,24.99,300
63,3405,2026-01-29,Pro,99.99,1600
64,12170,2026-01-09,Creator,49.99,700
65,8829,2026-05-02,Max,199.99,3500
66,9410,2026-07-13,Popular,24.99,300
67,9954,2026-04-09,Popular,24.99,300
68,8760,2026-04-19,Popular,24.99,300
69,12162,2026-08-21,Popular,24.99,300
70,11703,2026-05-20,Creator,49.99,700
71,14545,2026-06-23,Popular,24.99,300
72,13691,2026-03-14,Popular,24.99,300
73,480,2026-07-24,Mini,4.99,50
74,5400,2026-06-03,Popular,24.99,300
75,3290,2026-05-18,Creator,49.99,700
76,3798,2026-02-15,Starter,9.99,110
77,12411,2026-02-20,Pro,99.99,1600
78,2003,2026-02-11,Creator,49.99,700
79,7041,2026-07-10,Popular,24.99,300
80,7142,2026-07-05,Starter,9.99,110
81,9488,2026-01-05,Mini,4.99,50
82,13784,2026-08-14,Studio,499.99,10000
83,5279,2026-03-03,Creator,49.99,700
84,8277,2026-08-08,Starter,9.99,110
85,3940,2026-03-26,Pro,99.99,1600
86,1954,2026-03-19,Pro,99.99,1600
87,12294,2026-07-12,Popular,24.99,300
88,6920,2026-08-28,Creator,49.99,700
89,5322,2026-02-02,Starter,9.99,110
90,2132,2026-03-20,Mini,4.99,50
91,7300,2026-04-30,Popular,24.99,300
92,13703,2026-01-07,Creator,49.99,700
93,2592,2026-02-09,Max,199.99,3500
94,9328,2026-01-19,Starter,9.99,110
95,10322,2026-07-09,Starter,9.99,110
96,9441,2026-06-02,Mini,4.99,50
97,10910,2026-03-24,Popular,24.99,300
98,405,2026-08-24,Creator,49.99,700
99,3145,2026-05-25,Starter,9.99,110
100,12353,2026-02-06,Creator,49.99,700
101,573,2026-08-20,Max,199.99,3500
102,6819,2026-06-09,Mini,4.99,50
103,2427,2026-07-16,Mini,4.99,50
104,3312,2026-01-30,Mini,4.99,50
105,4370,2026-01-07,Max,199.99,3500
106,12550,2026-01-12,Popular,24.99,300
107,11157,2026-03-17,Mini,4.99,50
108,7714,2026-04-02,Pro,99.99,1600
109,3218,2026-04-08,Popular,24.99,300
110,6358,2026-01-09,Creator,49.99,700
111,7877,2026-06-12,Popular,24.99,300
112,13749,2026-03-12,Starter,9.99,110
113,12598,2026-01-18,Creator,49.99,700
114,4029,2026-01-04,Starter,9.99,110
115,684,2026-04-03,Max,199.99,3500
116,10961,2026-01-10,Studio,499.99,10000
117,9137,2026-01-01,Popular,24.99,300
118,8940,2026-04-09,Creator,49.99,700
119,4698,2026-03-22,Creator,49.99,700
120,5092,2026-07-26,Creator,49.99,700
121,12118,2026-04-24,Creator,49.99,700
122,12849,2026-01-24,Popular,24.99,300
123,8130,2026-06-30,Studio,499.99,10000
124,8493,2026-07-25,Starter,9.99,110
125,10148,2026-08-16,Starter,9.99,110
126,2142,2026-01-09,Max,199.99,3500
127,11128,2026-06-20,Popular,24.99,300
128,9094,2026-08-30,Pro,99.99,1600
129,12175,2026-03-04,Creator,49.99,700
130,12387,2026-04-22,Mini,4.99,50
131,5361,2026-06-11,Popular,24.99,300
132,8301,2026-08-30,Creator,49.99,700
133,7272,2026-04-07,Popular,24.99,300
134,13193,2026-08-01,Popular,24.99,300
135,2045,2026-04-13,Mini,4.99,50
136,11277,2026-07-15,Creator,49.99,700
137,10740,2026-05-06,Creator,49.99,700
138,1885,2026-06-21,Max,199.99,3500
139,3370,2026-07-06,Starter,9.99,110
140,9667,2026-04-25,Creator,49.99,700
141,11246,2026-03-31,Popular,24.99,300
142,14807,2026-01-15,Mini,4.99,50
143,12071,2026-08-26,Starter,9.99,110
144,7656,2026-08-23,Popular,24.99,300
145,3769,2026-05-26,Max,199.99,3500
146,12204,2026-06-05,Starter,9.99,110
147,11374,2026-05-16,Pro,99.99,1600
148,7639,2026-02-03,Popular,24.99,300
149,4691,2026-02-26,Max,199.99,3500
150,12325,2026-05-23,Max,199.99,3500
151,14999,2026-03-12,Starter,9.99,110
152,9475,2026-06-06,Mini,4.99,50
153,8603,2026-05-23,Popular,24.99,300
154,5813,2026-05-24,Pro,99.99,1600
155,7006,2026-01-24,Starter,9.99,110
156,13312,2026-05-29,Creator,49.99,700
157,4907,2026-08-15,Creator,49.99,700
158,10630,2026-02-22,Starter,9.99,110
159,7713,2026-05-09,Starter,9.99,110
160,11310,2026-03-15,Mini,4.99,50
161,10756,2026-08-15,Mini,4.99,50
162,2342,2026-07-21,Creator,49.99,700
163,11672,2026-08-13,Mini,4.99,50
164,4706,2026-06-17,Starter,9.99,110
165,13144,2026-03-20,Max,199.99,3500
166,37,2026-08-03,Starter,9.99,110
167,2565,2026-07-03,Max,199.99,3500
168,9712,2026-03-23,Creator,49.99,700
169,8054,2026-06-30,Starter,9.99,110
170,13947,2026-03-08,Starter,9.99,110
171,10413,2026-07-07,Creator,49.99,700
172,7236,2026-08-26,Creator,49.99,700
173,8080,2026-02-15,Max,199.99,3500
174,1460,2026-08-09,Popular,24.99,300
175,8066,2026-01-18,Studio,499.99,10000
176,3964,2026-08-14,Creator,49.99,700
177,3343,2026-08-12,Starter,9.99,110
178,10099,2026-08-26,Popular,24.99,300
179,7464,2026-08-15,Popular,24.99,300
180,3307,2026-03-12,Creator,49.99,700
181,12030,2026-06-13,Popular,24.99,300
182,5403,2026-08-25,Popular,24.99,300
183,11870,2026-04-24,Pro,99.99,1600
184,12525,2026-07-11,Pro,99.99,1600
185,6781,2026-07-08,Popular,24.99,300
186,6085,2026-07-07,Mini,4.99,50
187,14794,2026-04-26,Starter,9.99,110
188,7956,2026-04-14,Starter,9.99,110
189,11090,2026-08-06,Pro,99.99,1600
190,12174,2026-07-03,Starter,9.99,110
191,11491,2026-06-02,Creator,49.99,700
192,5452,2026-06-27,Mini,4.99,50
193,7913,2026-04-28,Mini,4.99,50
194,2061,2026-07-25,Creator,49.99,700
195,5226,2026-04-24,Creator,49.99,700
196,9798,2026-01-08,Popular,24.99,300
197,6521,2026-01-12,Creator,49.99,700
198,10331,2026-03-03,Starter,9.99,110
199,5919,2026-01-12,Popular,24.99,300
200,9935,2026-07-09,Popular,24.99,300
201,8795,2026-06-18,Mini,4.99,50
202,2111,2026-02-16,Mini,4.99,50
203,12714,2026-03-17,Starter,9.99,110
204,6412,2026-02-17,Popular,24.99,300
205,9769,2026-04-11,Popular,24.99,300
206,6952,2026-08-28,Pro,99.99,1600
207,14850,2026-04-28,Starter,9.99,110
208,2215,2026-04-08,Popular,24.99,300
209,3521,2026-06-25,Starter,9.99,110
210,2166,2026-04-01,Popular,24.99,300
211,5905,2026-02-20,Popular,24.99,300
212,1138,2026-07-05,Max,199.99,3500
213,9067,2026-06-12,Mini,4.99,50
214,13877,2026-02-03,Creator,49.99,700
215,1410,2026-04-27,Max,199.99,3500
216,13216,2026-02-06,Popular,24.99,300
217,8281,2026-05-29,Starter,9.99,110
218,13365,2026-06-28,Creator,49.99,700
219,14493,2026-08-17,Popular,24.99,300
220,4272,2026-02-02,Creator,49.99,700
221,8231,2026-08-20,Starter,9.99,110
222,3513,2026-05-06,Starter,9.99,110
223,583,2026-07-17,Popular,24.99,300
224,10492,2026-04-22,Studio,499.99,10000
225,10526,2026-02-05,Popular,24.99,300
226,8337,2026-06-08,Creator,49.99,700
227,7086,2026-08-06,Popular,24.99,300
228,1978,2026-01-28,Pro,99.99,1600
229,5680,2026-06-18,Popular,24.99,300
230,2909,2026-06-19,Creator,49.99,700
231,6532,2026-04-09,Creator,49.99,700
232,10423,2026-02-11,Creator,49.99,700
233,5828,2026-01-21,Starter,9.99,110
234,14392,2026-08-11,Starter,9.99,110
235,1194,2026-03-20,Pro,99.99,1600
236,1810,2026-06-27,Mini,4.99,50
237,14932,2026-05-30,Studio,499.99,10000
238,4761,2026-05-07,Popular,24.99,300
239,11967,2026-04-08,Creator,49.99,700
240,10502,2026-02-05,Creator,49.99,700
241,3374,2026-07-09,Popular,24.99,300
242,1112,2026-05-23,Popular,24.99,300
243,791,2026-04-28,Pro,99.99,1600
244,11195,2026-07-23,Mini,4.99,50
245,3742,2026-08-31,Pro,99.99,1600
246,3836,2026-03-15,Popular,24.99,300
247,1871,2026-02-07,Creator,49.99,700
248,7455,2026-01-18,Creator,49.99,700
249,14565,2026-01-18,Pro,99.99,1600
250,3809,2026-06-22,Creator,49.99,700
251,7316,2026-04-20,Mini,4.99,50
252,1736,2026-05-31,Pro,99.99,1600
253,9655,2026-02-13,Mini,4.99,50
254,161,2026-03-02,Popular,24.99,300
255,7815,2026-02-13,Mini,4.99,50
256,2044,2026-07-13,Popular,24.99,300
257,2155,2026-06-20,Max,199.99,3500
258,12749,2026-05-01,Max,199.99,3500
259,8467,2026-02-12,Starter,9.99,110
260,9042,2026-04-20,Popular,24.99,300
261,5227,2026-06-01,Creator,49.99,700
262,10169,2026-01-13,Pro,99.99,1600
263,13303,2026-03-29,Creator,49.99,700
264,2420,2026-02-01,Popular,24.99,300
265,8929,2026-08-02,Starter,9.99,110
266,7148,2026-03-13,Starter,9.99,110
267,12089,2026-07-22,Starter,9.99,110
268,6429,2026-03-16,Starter,9.99,110
269,9415,2026-07-06,Creator,49.99,700
270,7166,2026-05-28,Creator,49.99,700
271,2116,2026-07-10,Studio,499.99,10000
272,254,2026-08-16,Pro,99.99,1600
273,5994,2026-01-15,Starter,9.99,110
274,10542,2026-04-14,Creator,49.99,700
275,7516,2026-01-25,Starter,9.99,110
276,5738,2026-05-03,Max,199.99,3500
277,14551,2026-07-30,Creator,49.99,700
278,6763,2026-01-27,Starter,9.99,110
279,5210,2026-02-16,Popular,24.99,300
280,11914,2026-04-19,Max,199.99,3500
281,2419,2026-01-03,Popular,24.99,300
282,569,2026-08-03,Mini,4.99,50
283,14809,2026-01-03,Starter,9.99,110
284,3955,2026-02-06,Creator,49.99,700
285,11626,2026-02-21,Starter,9.99,110
286,4458,2026-08-31,Max,199.99,3500
287,13108,2026-01-20,Popular,24.99,300
288,8498,2026-06-15,Popular,24.99,300
289,10448,2026-01-26,Starter,9.99,110
290,2436,2026-02-03,Studio,499.99,10000
291,10149,2026-04-10,Starter,9.99,110
292,105,2026-07-29,Starter,9.99,110
293,4794,2026-03-21,Mini,4.99,50
294,11990,2026-04-24,Starter,9.99,110
295,11548,2026-03-22,Popular,24.99,300
296,14354,2026-03-08,Popular,24.99,300
297,5124,2026-02-06,Starter,9.99,110
298,5799,2026-08-12,Starter,9.99,110
299,5693,2026-05-02,Pro,99.99,1600
300,6522,2026-03-13,Starter,9.99,110
301,11769,2026-03-23,Pro,99.99,1600
302,8079,2026-07-05,Max,199.99,3500
303,5887,2026-04-13,Popular,24.99,300
304,9971,2026-07-31,Popular,24.99,300
305,11632,2026-06-15,Max,199.99,3500
306,7222,2026-06-25,Max,199.99,3500
307,2144,2026-01-13,Popular,24.99,300
308,6259,2026-04-05,Starter,9.99,110
309,93,2026-06-11,Popular,24.99,300
310,14203,2026-03-03,Popular,24.99,300
311,180,2026-02-19,Max,199.99,3500
312,7685,2026-03-19,Max,199.99,3500
313,10169,2026-02-18,Popular,24.99,300
314,6669,2026-06-12,Starter,9.99,110
315,5632,2026-07-15,Max,199.99,3500
316,2449,2026-01-02,Starter,9.99,110
317,14779,2026-08-02,Pro,99.99,1600
318,6246,2026-02-05,Popular,24.99,300
319,2942,2026-07-27,Popular,24.99,300
320,11222,2026-01-11,Creator,49.99,700
321,5984,2026-04-16,Mini,4.99,50
322,3012,2026-06-28,Starter,9.99,110
323,8848,2026-06-08,Starter,9.99,110
324,13128,2026-07-12,Mini,4.99,50
325,12470,2026-01-03,Starter,9.99,110
326,14662,2026-07-02,Starter,9.99,110
327,14609,2026-08-20,Studio,499.99,10000
328,8437,2026-07-29,Creator,49.99,700
329,8077,2026-07-30,Creator,49.99,700
330,2895,2026-02-01,Creator,49.99,700
331,5150,2026-07-20,Starter,9.99,110
332,1624,2026-05-15,Max,199.99,3500
333,13292,2026-05-23,Mini,4.99,50
334,8578,2026-05-26,Studio,499.99,10000
335,7927,2026-02-27,Starter,9.99,110
336,7735,2026-05-27,Starter,9.99,110
337,12930,2026-07-30,Creator,49.99,700
338,9964,2026-01-26,Studio,499.99,10000
339,5233,2026-06-27,Starter,9.99,110
340,13734,2026-03-26,Mini,4.99,50
341,3371,2026-03-12,Mini,4.99,50
342,7762,2026-07-24,Pro,99.99,1600
343,5669,2026-08-09,Max,199.99,3500
344,14396,2026-06-11,Popular,24.99,300
345,13220,2026-06-03,Creator,49.99,700
346,7092,2026-05-01,Max,199.99,3500
347,3633,2026-05-07,Starter,9.99,110
348,10900,2026-03-21,Starter,9.99,110
349,11275,2026-03-23,Mini,4.99,50
350,5859,2026-05-09,Starter,9.99,110
351,12852,2026-08-28,Popular,24.99,300
352,4430,2026-05-11,Creator,49.99,700
353,7876,2026-05-08,Popular,24.99,300
354,4845,2026-05-31,Starter,9.99,110
355,24,2026-02-05,Max,199.99,3500
356,10333,2026-03-25,Starter,9.99,110
357,5472,2026-05-19,Popular,24.99,300
358,1641,2026-07-26,Mini,4.99,50
359,10086,2026-01-23,Starter,9.99,110
360,6597,2026-05-31,Creator,49.99,700
361,12476,2026-07-05,Creator,49.99,700
362,2048,2026-01-07,Max,199.99,3500
363,7329,2026-03-06,Creator,49.99,700
364,8113,2026-02-11,Popular,24.99,300
365,7288,2026-02-06,Starter,9.99,110
366,8644,2026-02-01,Starter,9.99,110
367,4348,2026-04-28,Starter,9.99,110
368,9842,2026-03-29,Pro,99.99,1600
369,11643,2026-08-15,Starter,9.99,110
370,9614,2026-05-06,Popular,24.99,300
371,12160,2026-07-31,Creator,49.99,700
372,11601,2026-08-20,Max,199.99,3500
373,1926,2026-06-23,Creator,49.99,700
374,2675,2026-05-31,Starter,9.99,110
375,13103,2026-05-19,Popular,24.99,300
376,10147,2026-07-10,Creator,49.99,700
377,6561,2026-01-22,Popular,24.99,300
378,495,2026-08-28,Pro,99.99,1600
379,12244,2026-07-16,Mini,4.99,50
380,4781,2026-04-08,Creator,49.99,700
381,2829,2026-06-30,Mini,4.99,50
382,794,2026-01-25,Popular,24.99,300
383,13726,2026-02-23,Popular,24.99,300
384,428,2026-02-17,Popular,24.99,300
385,2636,2026-01-28,Popular,24.99,300
386,6452,2026-03-04,Starter,9.99,110
387,2981,2026-07-18,Creator,49.99,700
388,7878,2026-07-25,Creator,49.99,700
389,7590,2026-07-06,Pro,99.99,1600
390,1318,2026-02-01,Pro,99.99,1600
391,14461,2026-06-17,Pro,99.99,1600
392,1451,2026-06-05,Starter,9.99,110
393,63,2026-03-16,Pro,99.99,1600
394,11735,2026-08-17,Starter,9.99,110
395,9951,2026-06-15,Max,199.99,3500
396,4086,2026-06-07,Starter,9.99,110
397,10236,2026-02-06,Creator,49.99,700
398,8884,2026-02-15,Popular,24.99,300
399,374,2026-08-14,Popular,24.99,300
400,5734,2026-04-15,Mini,4.99,50
401,12515,2026-05-31,Creator,49.99,700
402,12847,2026-07-05,Popular,24.99,300
403,2526,2026-07-25,Starter,9.99,110
404,8377,2026-02-12,Mini,4.99,50
405,3962,2026-05-16,Popular,24.99,300
406,9589,2026-07-23,Creator,49.99,700
407,7312,2026-01-27,Starter,9.99,110
408,1355,2026-01-23,Pro,99.99,1600
409,1118,2026-04-02,Creator,49.99,700
410,8838,2026-05-15,Max,199.99,3500
411,12314,2026-04-30,Creator,49.99,700
412,13882,2026-05-31,Pro,99.99,1600
413,2560,2026-08-20,Creator,49.99,700
414,1656,2026-01-30,Starter,9.99,110
415,13480,2026-02-06,Creator,49.99,700
416,12539,2026-08-08,Popular,24.99,300
417,13089,2026-05-21,Creator,49.99,700
418,203,2026-06-09,Starter,9.99,110
419,5272,2026-01-19,Creator,49.99,700
420,4943,2026-07-23,Popular,24.99,300
421,9208,2026-03-29,Creator,49.99,700
422,13259,2026-04-02,Popular,24.99,300
423,6930,2026-06-29,Starter,9.99,110
424,3594,2026-01-20,Popular,24.99,300
425,5366,2026-06-08,Popular,24.99,300
426,13195,2026-07-01,Starter,9.99,110
427,8790,2026-06-28,Popular,24.99,300
428,8104,2026-03-16,Pro,99.99,1600
429,10898,2026-01-21,Pro,99.99,1600
430,301,2026-05-09,Creator,49.99,700
431,5436,2026-07-27,Starter,9.99,110
432,10956,2026-05-10,Popular,24.99,300
433,11524,2026-05-21,Max,199.99,3500
434,13999,2026-01-06,Popular,24.99,300
435,10815,2026-07-08,Studio,499.99,10000
436,8070,2026-04-15,Studio,499.99,10000
437,449,2026-03-14,Starter,9.99,110
438,5853,2026-05-03,Popular,24.99,300
439,6723,2026-02-21,Max,199.99,3500
440,941,2026-08-30,Studio,499.99,10000
441,2732,2026-05-31,Max,199.99,3500
442,8272,2026-08-12,Studio,499.99,10000
443,6916,2026-05-10,Studio,499.99,10000
444,8380,2026-02-19,Max,199.99,3500
445,3011,2026-05-22,Starter,9.99,110
446,5566,2026-01-24,Creator,49.99,700
447,4106,2026-06-29,Popular,24.99,300
448,10489,2026-08-01,Starter,9.99,110
449,12377,2026-08-09,Mini,4.99,50
450,11352,2026-03-28,Pro,99.99,1600
451,11317,2026-06-13,Starter,9.99,110
452,3821,2026-08-08,Pro,99.99,1600
453,8933,2026-06-15,Starter,9.99,110
454,1656,2026-08-08,Max,199.99,3500
455,8504,2026-06-01,Max,199.99,3500
456,4350,2026-04-06,Pro,99.99,1600
457,10626,2026-05-05,Starter,9.99,110
458,4946,2026-08-08,Studio,499.99,10000
459,10059,2026-06-04,Mini,4.99,50
460,8813,2026-06-28,Max,199.99,3500
461,6027,2026-06-15,Pro,99.99,1600
462,4780,2026-03-22,Starter,9.99,110
463,13380,2026-07-13,Pro,99.99,1600
464,8517,2026-08-15,Max,199.99,3500
465,4571,2026-06-26,Pro,99.99,1600
466,9008,2026-07-25,Popular,24.99,300
467,23,2026-08-13,Max,199.99,3500
468,5455,2026-05-03,Creator,49.99,700
469,3215,2026-05-08,Starter,9.99,110
470,4435,2026-07-05,Popular,24.99,300
471,6179,2026-06-12,Popular,24.99,300
472,5793,2026-04-24,Pro,99.99,1600
473,13335,2026-06-26,Pro,99.99,1600
474,14786,2026-04-21,Starter,9.99,110
475,14739,2026-06-16,Pro,99.99,1600
476,953,2026-04-23,Max,199.99,3500
477,9829,2026-04-23,Mini,4.99,50
478,5141,2026-05-04,Starter,9.99,110
479,2703,2026-02-28,Starter,9.99,110
480,1313,2026-06-20,Creator,49.99,700
481,11480,2026-04-06,Starter,9.99,110
482,5597,2026-06-20,Popular,24.99,300
483,1354,2026-07-24,Creator,49.99,700
484,1470,2026-05-09,Starter,9.99,110
485,10693,2026-07-31,Popular,24.99,300
486,6750,2026-05-06,Studio,499.99,10000
487,2955,2026-02-02,Mini,4.99,50
488,7780,2026-04-01,Starter,9.99,110
489,10677,2026-07-20,Pro,99.99,1600
490,4410,2026-05-12,Creator,49.99,700
491,11911,2026-05-09,Pro,99.99,1600
492,8951,2026-08-20,Starter,9.99,110
493,12118,2026-01-22,Max,199.99,3500
494,11088,2026-08-10,Mini,4.99,50
495,14673,2026-06-05,Creator,49.99,700
496,9054,2026-06-12,Studio,499.99,10000
497,980,2026-04-20,Starter,9.99,110
498,14914,2026-08-17,Popular,24.99,300
499,801,2026-03-31,Mini,4.99,50
500,8660,2026-08-03,Creator,49.99,700
501,7547,2026-03-14,Starter,9.99,110
502,2829,2026-03-18,Max,199.99,3500
503,4194,2026-02-19,Starter,9.99,110
504,6866,2026-06-24,Max,199.99,3500
505,3752,2026-02-08,Pro,99.99,1600
506,6860,2026-05-10,Popular,24.99,300
507,348,2026-07-20,Popular,24.99,300
508,3218,2026-03-19,Popular,24.99,300
509,9973,2026-08-07,Max,199.99,3500
510,595,2026-04-25,Popular,24.99,300
511,14975,2026-07-01,Mini,4.99,50
512,4243,2026-08-16,Starter,9.99,110
513,11720,2026-04-25,Creator,49.99,700
514,2846,2026-04-30,Popular,24.99,300
515,10667,2026-01-07,Creator,49.99,700
516,9228,2026-08-04,Starter,9.99,110
517,4015,2026-03-03,Pro,99.99,1600
518,14550,2026-04-04,Starter,9.99,110
519,14446,2026-05-15,Starter,9.99,110
520,5660,2026-04-07,Popular,24.99,300
521,8752,2026-04-23,Pro,99.99,1600
522,8478,2026-01-22,Creator,49.99,700
523,7785,2026-01-17,Starter,9.99,110
524,6371,2026-01-15,Creator,49.99,700
525,10065,2026-07-18,Starter,9.99,110
526,12588,2026-06-23,Max,199.99,3500
527,14346,2026-06-25,Pro,99.99,1600
528,7655,2026-03-31,Popular,24.99,300
529,8747,2026-07-10,Starter,9.99,110
530,8965,2026-03-11,Popular,24.99,300
531,6226,2026-04-04,Studio,499.99,10000
532,12711,2026-05-26,Starter,9.99,110
533,4243,2026-07-06,Starter,9.99,110
534,9092,2026-06-27,Max,199.99,3500
535,8263,2026-02-08,Starter,9.99,110
536,467,2026-06-24,Studio,499.99,10000
537,8232,2026-06-14,Starter,9.99,110
538,9164,2026-03-22,Starter,9.99,110
539,10347,2026-02-23,Starter,9.99,110
540,425,2026-02-04,Popular,24.99,300
541,12631,2026-06-23,Mini,4.99,50
542,9342,2026-01-14,Mini,4.99,50
543,8432,2026-04-23,Starter,9.99,110
544,10980,2026-05-16,Creator,49.99,700
545,2461,2026-05-13,Max,199.99,3500
546,3382,2026-07-16,Popular,24.99,300
547,12627,2026-07-08,Starter,9.99,110
548,8566,2026-08-02,Max,199.99,3500
549,12342,2026-05-10,Starter,9.99,110
550,13743,2026-04-20,Starter,9.99,110
551,5014,2026-01-13,Starter,9.99,110
552,4316,2026-08-08,Starter,9.99,110
553,12943,2026-02-23,Pro,99.99,1600
554,10951,2026-03-30,Starter,9.99,110
555,5284,2026-05-15,Creator,49.99,700
556,7339,2026-06-13,Popular,24.99,300
557,9448,2026-03-13,Starter,9.99,110
558,3970,2026-08-29,Creator,49.99,700
559,13342,2026-06-27,Creator,49.99,700
560,10541,2026-05-24,Popular,24.99,300
561,8498,2026-02-12,Popular,24.99,300
562,9597,2026-02-13,Mini,4.99,50
563,6631,2026-08-31,Mini,4.99,50
564,12128,2026-07-26,Pro,99.99,1600
565,627,2026-05-08,Pro,99.99,1600
566,4289,2026-07-22,Popular,24.99,300
567,11274,2026-01-14,Creator,49.99,700
568,13015,2026-02-26,Pro,99.99,1600
569,8595,2026-02-27,Mini,4.99,50
570,14877,2026-03-31,Studio,499.99,10000
571,11565,2026-06-11,Studio,499.99,10000
572,413,2026-05-04,Popular,24.99,300
573,11564,2026-01-07,Starter,9.99,110
574,12578,2026-07-05,Starter,9.99,110
575,2920,2026-04-15,Starter,9.99,110
576,11891,2026-06-30,Starter,9.99,110
577,10608,2026-06-09,Studio,499.99,10000
578,14936,2026-05-16,Popular,24.99,300
579,14310,2026-03-24,Starter,9.99,110
580,13710,2026-02-17,Pro,99.99,1600
581,1092,2026-08-07,Starter,9.99,110
582,1988,2026-05-16,Popular,24.99,300
583,11232,2026-03-16,Pro,99.99,1600
584,1454,2026-03-15,Popular,24.99,300
585,3080,2026-08-25,Max,199.99,3500
586,12445,2026-08-25,Popular,24.99,300
587,4310,2026-04-29,Max,199.99,3500
588,3656,2026-05-17,Creator,49.99,700
589,10483,2026-02-27,Popular,24.99,300
590,10501,2026-03-24,Mini,4.99,50
591,2186,2026-05-16,Popular,24.99,300
592,14095,2026-08-19,Creator,49.99,700
593,4571,2026-01-18,Mini,4.99,50
594,12057,2026-06-03,Mini,4.99,50
595,10682,2026-01-01,Studio,499.99,10000
596,7953,2026-01-05,Studio,499.99,10000
597,5760,2026-08-21,Mini,4.99,50
598,14924,2026-03-20,Starter,9.99,110
599,14811,2026-03-08,Starter,9.99,110
600,12210,2026-04-04,Pro,99.99,1600
601,14642,2026-03-09,Creator,49.99,700
602,9392,2026-02-05,Popular,24.99,300
603,5552,2026-03-20,Mini,4.99,50
604,2983,2026-03-26,Max,199.99,3500
605,929,2026-05-12,Starter,9.99,110
606,3691,2026-08-14,Pro,99.99,1600
607,14701,2026-05-30,Studio,499.99,10000
608,1157,2026-02-21,Creator,49.99,700
609,9475,2026-08-13,Starter,9.99,110
610,311,2026-03-13,Starter,9.99,110
611,12179,2026-02-01,Popular,24.99,300
612,12061,2026-03-15,Max,199.99,3500
613,2032,2026-04-05,Mini,4.99,50
614,1912,2026-04-30,Mini,4.99,50
615,12270,2026-03-09,Pro,99.99,1600
616,3469,2026-06-28,Popular,24.99,300
617,8547,2026-01-05,Popular,24.99,300
618,6249,2026-04-13,Popular,24.99,300
619,9752,2026-05-06,Mini,4.99,50
620,666,2026-02-17,Mini,4.99,50
621,7543,2026-07-31,Popular,24.99,300
622,60,2026-01-30,Popular,24.99,300
623,6803,2026-05-30,Starter,9.99,110
624,14402,2026-06-23,Max,199.99,3500
625,13408,2026-08-08,Starter,9.99,110
626,12696,2026-01-01,Popular,24.99,300
627,8666,2026-07-19,Max,199.99,3500
628,8600,2026-06-19,Starter,9.99,110
629,9814,2026-03-14,Creator,49.99,700
630,13146,2026-04-29,Creator,49.99,700
631,6747,2026-08-31,Popular,24.99,300
