content_id,snapshot_date,views,likes,comments,recreates,shares,avg_watch_seconds,watch_minutes
92,2026-08-31,23897,1358,123,48,368,10.02,3990.14
93,2026-08-31,10322,1123,114,21,9,6.47,1113.5
94,2026-08-31,6092,290,18,11,87,4.88,495.49
95,2026-08-31,2525,231,16,14,42,9.33,392.54
96,2026-08-31,6876,351,13,12,149,13.06,1497.18
97,2026-08-31,5121,380,56,15,8,10.17,868.29
98,2026-08-31,1935,151,18,7,13,9.42,303.83
99,2026-08-31,69,4,0,0,0,6.86,7.89
100,2026-08-31,6559,453,70,5,33,4.86,531.61
101,2026-08-31,5191,357,29,12,95,11.57,1001.34
102,2026-08-31,49,5,0,0,0,7.63,6.23
103,2026-08-31,2414,83,8,1,10,9.69,389.72
104,2026-08-31,265,19,2,2,3,14.39,63.58
105,2026-08-31,558,20,2,0,6,9.66,89.84
106,2026-08-31,332,9,1,1,3,13.55,74.98
107,2026-08-31,1015,63,5,2,9,5.94,100.47
108,2026-08-31,10172,728,82,24,28,8.84,1498.96
109,2026-08-31,1207,105,8,7,24,9.44,189.86
110,2026-08-31,219,4,0,0,3,3.02,11.03
111,2026-08-31,432,16,1,0,4,11.9,85.65
112,2026-08-31,1143,115,9,5,32,7.77,148.08
113,2026-08-31,219,13,0,0,6,8.83,32.24
114,2026-08-31,1688,163,14,6,13,10.87,305.73
115,2026-08-31,4116,223,21,2,51,9.89,678.7
116,2026-08-31,2171,128,9,6,21,7.43,268.73
117,2026-08-31,113,5,0,0,2,7.22,13.59
118,2026-08-31,13688,856,105,75,180,9.01,2056.12
119,2026-08-31,2694,225,19,0,43,3.0,134.55
120,2026-08-31,4421,321,29,11,46,8.06,593.74
121,2026-08-31,9148,494,29,29,108,13.93,2124.22
122,2026-08-31,782,53,2,7,15,9.82,127.99
123,2026-08-31,20638,1408,66,49,102,7.32,2518.81
124,2026-08-31,11370,723,64,7,47,3.04,576.6
125,2026-08-31,930,63,5,1,4,5.68,88.04
126,2026-08-31,5269,593,62,16,86,14.48,1271.32
127,2026-08-31,972,68,5,3,15,11.75,190.3
128,2026-08-31,2209,140,3,0,13,6.59,242.76
129,2026-08-31,915,21,6,0,13,5.58,85.06
130,2026-08-31,2832,285,20,14,29,9.44,445.5
131,2026-08-31,3713,226,17,6,29,6.53,403.89
132,2026-08-31,770,44,3,2,8,11.03,141.57
133,2026-08-31,958,80,3,4,16,9.01,143.89
134,2026-08-31,900,68,8,7,4,4.79,71.88
135,2026-08-31,229,9,0,2,5,10.69,40.81
136,2026-08-31,391,20,2,0,7,8.88,57.86
137,2026-08-31,249,21,0,1,5,12.03,49.93
138,2026-08-31,758,26,1,1,9,9.78,123.6
139,2026-08-31,170,10,1,1,2,10.6,30.05
140,2026-08-31,4124,285,18,17,63,10.5,721.85
141,2026-08-31,1539,125,5,2,7,14.47,371.08
142,2026-08-31,580,34,3,0,6,7.6,73.46
143,2026-08-31,315,14,2,0,3,8.2,43.06
144,2026-08-31,4199,301,27,16,36,3.16,220.9
145,2026-08-31,368,6,1,0,2,10.48,64.29
146,2026-08-31,477,29,0,0,4,10.56,83.99
147,2026-08-31,312,17,1,0,4,10.72,55.77
148,2026-08-31,301,17,1,0,8,7.86,39.45
149,2026-08-31,3179,227,20,7,36,11.91,630.89
150,2026-08-31,630,29,4,0,5,6.56,68.87
151,2026-08-31,739,43,6,1,1,8.9,109.57
152,2026-08-31,1072,30,2,4,27,7.82,139.66
153,2026-08-31,114,4,0,0,6,7.77,14.76
154,2026-08-31,218,12,1,1,1,6.38,23.16
155,2026-08-31,3068,247,8,15,33,4.83,247.21
156,2026-08-31,310,30,5,0,4,14.44,74.63
157,2026-08-31,677,49,3,1,5,12.28,138.51
158,2026-08-31,1225,74,8,2,19,6.54,133.6
159,2026-08-31,198,7,1,0,1,5.29,17.45
160,2026-08-31,416,19,0,2,6,12.1,83.91
161,2026-08-31,613,51,1,2,6,8.3,84.78
162,2026-08-31,339,36,6,0,3,4.33,24.46
163,2026-08-31,879,55,5,0,13,8.76,128.39
164,2026-08-31,1337,55,2,2,15,6.51,145.14
165,2026-08-31,177,21,3,1,1,4.91,14.48
166,2026-08-31,125,12,1,0,0,5.8,12.09
167,2026-08-31,144,16,4,0,1,9.87,23.69
168,2026-08-31,2755,185,15,8,21,11.42,524.28
169,2026-08-31,2005,165,11,6,14,8.37,279.73
170,2026-08-31,1601,112,12,1,25,9.09,242.51
171,2026-08-31,7828,586,58,22,111,5.97,778.37
172,2026-08-31,938,43,6,3,12,3.72,58.14
173,2026-08-31,3261,276,20,7,29,3.08,167.18
174,2026-08-31,1321,101,8,6,3,11.87,261.27
175,2026-08-31,636,65,10,4,7,5.91,62.6
176,2026-08-31,3067,173,17,9,27,7.38,377.09
177,2026-08-31,1378,156,23,2,11,6.99,160.53
178,2026-08-31,1234,83,10,2,14,7.88,162.06
179,2026-08-31,429,33,4,2,6,10.43,74.58
180,2026-08-31,920,59,8,3,15,7.05,108.11
181,2026-08-31,205,6,0,0,3,12.22,41.74
182,2026-08-31,433,30,3,2,9,11.54,83.29
183,2026-08-31,141,3,0,0,1,7.96,18.71
184,2026-08-31,517,31,0,5,4,3.57,30.78
185,2026-08-31,1550,121,6,5,20,6.25,161.43
186,2026-08-31,500,57,3,1,10,9.14,76.13
187,2026-08-31,1498,50,1,0,17,12.66,316.16
188,2026-08-31,2954,160,13,5,31,6.73,331.47
189,2026-08-31,168,19,1,0,3,9.55,26.75
190,2026-08-31,1062,49,3,1,11,4.75,84.13
191,2026-08-31,1444,88,10,3,27,7.75,186.61
192,2026-08-31,4400,126,11,3,79,13.54,993.03
193,2026-08-31,2805,120,11,7,26,12.44,581.4
194,2026-08-31,777,55,2,2,5,7.64,99.0
195,2026-08-31,500,29,3,4,0,9.89,82.45
196,2026-08-31,1610,77,1,4,19,9.13,244.95
197,2026-08-31,2335,173,18,9,25,5.02,195.3
198,2026-08-31,9477,718,71,19,102,6.93,1094.54
199,2026-08-31,1931,143,15,1,26,9.17,295.21
200,2026-08-31,8850,488,50,18,81,13.09,1930.05
201,2026-08-31,802,51,2,5,6,6.47,86.44
202,2026-08-31,80,2,0,0,2,12.46,16.62
203,2026-08-31,736,45,4,6,5,14.49,177.71
204,2026-08-31,4913,325,44,7,57,10.43,853.92
205,2026-08-31,1512,110,8,4,22,3.13,78.8
206,2026-08-31,278,18,1,2,3,7.75,35.9
207,2026-08-31,843,64,5,4,4,11.07,155.59
208,2026-08-31,2349,167,11,13,17,9.35,366.13
209,2026-08-31,147,5,0,1,3,3.61,8.84
210,2026-08-31,2351,109,10,4,32,9.53,373.23
211,2026-08-31,2298,196,26,12,27,9.18,351.42
212,2026-08-31,1565,84,5,3,8,5.21,136.01
213,2026-08-31,7702,650,63,34,127,6.64,852.05
214,2026-08-31,258,15,2,0,3,5.05,21.72
215,2026-08-31,91,8,1,0,1,3.98,6.04
216,2026-08-31,875,48,5,1,29,6.1,88.9
217,2026-08-31,180,8,0,0,5,6.81,20.42
218,2026-08-31,311,34,4,1,7,7.78,40.34
219,2026-08-31,476,30,1,2,5,5.94,47.15
220,2026-08-31,360,37,2,3,7,9.04,54.25
221,2026-08-31,266,29,3,1,3,15.49,68.66
222,2026-08-31,321,5,0,0,1,10.35,55.36
223,2026-08-31,63757,5146,392,199,1124,8.43,8958.5
224,2026-08-31,1390,121,11,1,22,6.23,144.4
225,2026-08-31,2189,139,4,1,26,6.11,222.76
226,2026-08-31,963,49,6,1,10,3.95,63.34
227,2026-08-31,1885,148,10,4,2,11.04,346.97
228,2026-08-31,286,16,2,0,4,7.35,35.01
229,2026-08-31,7446,619,66,17,128,5.86,726.94
230,2026-08-31,128891,11475,1638,579,1721,4.04,8684.98
231,2026-08-31,441,30,2,1,7,12.01,88.3
232,2026-08-31,1351,57,7,2,22,7.26,163.55
233,2026-08-31,412,45,0,5,3,7.05,48.44
234,2026-08-31,2241,237,10,7,27,9.99,373.2
235,2026-08-31,748,26,1,1,7,6.23,77.61
236,2026-08-31,230,18,1,0,0,13.22,50.66
237,2026-08-31,781,40,4,0,19,5.7,74.14
238,2026-08-31,4550,375,20,26,59,11.07,839.27
239,2026-08-31,1870,147,11,7,27,12.77,398.0
240,2026-08-31,1469,130,7,3,5,11.8,288.78
241,2026-08-31,1488,62,4,1,23,1.82,45.14
242,2026-08-31,188,6,0,0,3,8.64,27.08
243,2026-08-31,1649,83,7,2,25,10.79,296.67
244,2026-08-31,278,14,1,1,2,9.37,43.41
245,2026-08-31,611,30,0,4,12,6.92,70.48
246,2026-08-31,410,17,3,0,8,10.92,74.6
247,2026-08-31,198,15,1,1,2,6.81,22.48
248,2026-08-31,730,27,2,1,10,9.05,110.09
249,2026-08-31,1110,74,5,2,9,8.77,162.28
250,2026-08-31,9134,236,16,15,147,12.7,1934.04
251,2026-08-31,12843,918,117,36,71,9.64,2064.44
252,2026-08-31,5320,514,49,25,56,12.86,1139.82
253,2026-08-31,501,31,2,4,6,9.72,81.2
254,2026-08-31,203,12,0,0,4,5.17,17.49
255,2026-08-31,256,15,2,0,4,1.98,8.43
256,2026-08-31,4600,337,22,7,85,3.08,236.27
257,2026-08-31,3787,130,13,4,14,8.22,518.56
258,2026-08-31,11781,752,94,24,179,6.89,1352.32
259,2026-08-31,724,63,5,2,6,4.21,50.84
260,2026-08-31,2458,144,18,6,19,13.33,546.08
261,2026-08-31,712,55,5,3,5,4.79,56.82
262,2026-08-31,437,29,1,1,4,10.59,77.16
263,2026-08-31,1933,65,7,4,21,7.03,226.43
264,2026-08-31,468,21,2,1,7,1.5,11.7
265,2026-08-31,432,39,2,1,7,5.74,41.35
266,2026-08-31,324,17,1,2,6,3.5,18.93
267,2026-08-31,2934,216,28,9,6,5.88,287.52
268,2026-08-31,676,46,0,1,16,6.18,69.64
269,2026-08-31,569,15,0,0,4,15.01,142.39
270,2026-08-31,8578,769,78,30,61,11.26,1609.47
271,2026-08-31,207,13,1,0,4,8.66,29.89
272,2026-08-31,37,2,0,1,0,6.99,4.31
273,2026-08-31,1564,63,3,2,26,7.33,191.16
274,2026-08-31,3632,244,19,10,51,3.42,207.12
275,2026-08-31,3301,300,18,18,44,6.74,370.88
276,2026-08-31,209,11,1,2,1,10.4,36.21
277,2026-08-31,440,28,2,0,3,15.3,112.24
278,2026-08-31,1337,81,3,4,23,15.53,345.96
279,2026-08-31,320,21,0,0,4,8.36,44.61
280,2026-08-31,442,31,2,0,5,7.85,57.83
281,2026-08-31,1365,32,3,1,15,12.86,292.64
282,2026-08-31,1836,173,11,4,39,8.13,248.91
283,2026-08-31,600,48,5,2,7,8.05,80.46
284,2026-08-31,225,27,2,2,2,8.5,31.89
285,2026-08-31,675,48,5,1,7,7.76,87.3
286,2026-08-31,5633,337,29,22,92,6.2,581.62
287,2026-08-31,1157,93,11,5,16,13.26,255.6
288,2026-08-31,1367,64,4,2,8,11.22,255.52
289,2026-08-31,615,48,0,0,7,4.99,51.19
290,2026-08-31,611,51,5,1,5,6.63,67.52
291,2026-08-31,3649,353,30,8,67,9.56,581.45
292,2026-08-31,3729,309,17,4,31,9.03,561.0
293,2026-08-31,4873,269,9,2,4,6.44,522.99
294,2026-08-31,1352,86,6,5,18,5.18,116.77
295,2026-08-31,1648,158,19,7,26,9.48,260.52
296,2026-08-31,697,56,3,1,4,9.75,113.25
297,2026-08-31,3688,315,29,8,16,8.33,512.0
298,2026-08-31,533,40,3,0,7,7.5,66.64
299,2026-08-31,767,34,4,0,1,8.17,104.43
300,2026-08-31,1143,107,10,3,12,12.29,234.13
301,2026-08-31,1519,180,15,7,24,9.4,237.98
302,2026-08-31,1217,96,12,1,16,11.88,240.89
303,2026-08-31,1592,66,2,4,28,10.4,275.96
304,2026-08-31,354,23,1,0,4,12.18,71.85
305,2026-08-31,3408,335,38,7,63,8.9,505.56
306,2026-08-31,110,9,0,0,3,12.48,22.88
307,2026-08-31,1524,61,4,9,15,8.28,210.34
308,2026-08-31,30266,662,66,13,269,1.91,962.68
309,2026-08-31,1138,31,2,1,19,10.23,193.98
310,2026-08-31,4926,104,5,7,28,9.21,756.19
311,2026-08-31,1114,65,4,0,33,9.49,176.13
312,2026-08-31,806,42,6,2,16,1.5,20.15
313,2026-08-31,5124,297,41,6,126,8.1,692.02
314,2026-08-31,314,25,2,1,2,6.63,34.69
315,2026-08-31,323,26,4,0,0,6.17,33.23
316,2026-08-31,1832,163,12,9,28,14.53,443.54
317,2026-08-31,936,34,2,0,9,7.14,111.44
318,2026-08-31,2831,196,19,4,39,10.43,492.06
319,2026-08-31,691,54,8,1,7,2.34,26.98
320,2026-08-31,225,8,1,0,1,11.78,44.18
321,2026-08-31,505,34,2,0,7,8.48,71.39
322,2026-08-31,4038,238,18,13,79,11.72,788.67
323,2026-08-31,75,5,0,0,0,10.14,12.67
324,2026-08-31,1871,178,12,7,36,9.88,308.0
325,2026-08-31,68,8,0,0,0,2.64,3.0
326,2026-08-31,8423,324,18,10,105,12.65,1775.47
327,2026-08-31,1243,110,19,3,14,12.65,262.15
328,2026-08-31,1287,50,0,2,26,11.04,236.75
329,2026-08-31,1099,109,12,7,12,11.01,201.59
330,2026-08-31,358,32,0,2,9,7.79,46.47
331,2026-08-31,750,55,5,0,3,10.83,135.37
332,2026-08-31,554,56,8,2,5,9.84,90.9
333,2026-08-31,686,57,3,3,12,4.18,47.75
334,2026-08-31,2229,94,5,5,32,9.17,340.58
335,2026-08-31,2914,154,21,6,15,8.14,395.35
336,2026-08-31,6521,492,59,16,74,9.68,1051.9
337,2026-08-31,420,26,0,0,7,9.52,66.63
338,2026-08-31,5621,263,20,17,44,7.37,690.42
339,2026-08-31,200,10,0,0,5,11.87,39.56
340,2026-08-31,193,13,1,0,5,11.37,36.57
341,2026-08-31,11278,641,85,31,103,9.06,1703.92
342,2026-08-31,1597,122,8,6,26,7.14,189.95
343,2026-08-31,1288,87,4,5,22,11.57,248.4
344,2026-08-31,2881,207,18,19,32,10.2,489.87
345,2026-08-31,1581,139,5,7,12,12.24,322.52
346,2026-08-31,561,19,1,2,10,5.52,51.59
347,2026-08-31,810,50,4,2,9,8.86,119.67
348,2026-08-31,157,11,1,0,1,10.81,28.28
349,2026-08-31,157,9,0,1,1,5.43,14.21
350,2026-08-31,1760,87,11,2,40,11.28,330.87
351,2026-08-31,1514,64,4,4,36,7.13,179.93
352,2026-08-31,1189,56,4,0,10,7.68,152.28
353,2026-08-31,279,13,2,1,4,12.11,56.3
354,2026-08-31,543,27,3,0,10,9.26,83.76
355,2026-08-31,274,31,4,1,1,10.62,48.48
356,2026-08-31,209,17,1,1,5,9.26,32.24
357,2026-08-31,479,22,4,1,3,13.28,106.01
358,2026-08-31,678,8,0,0,10,11.61,131.15
359,2026-08-31,4260,346,15,20,67,9.04,641.59
360,2026-08-31,1317,103,3,2,25,9.02,197.89
361,2026-08-31,1206,93,7,0,7,7.08,142.21
362,2026-08-31,1025,73,5,0,5,9.21,157.3
363,2026-08-31,134,7,0,0,2,4.26,9.5
364,2026-08-31,614,44,5,1,10,9.82,100.51
365,2026-08-31,512,31,3,0,1,7.07,60.3
366,2026-08-31,260,20,5,0,2,10.27,44.5
367,2026-08-31,209,9,1,0,2,10.22,35.62
368,2026-08-31,181,20,3,0,0,4.55,13.72
369,2026-08-31,686,10,1,1,4,7.44,85.02
370,2026-08-31,803,47,4,2,7,10.07,134.75
371,2026-08-31,199,14,1,1,0,4.24,14.08
372,2026-08-31,1256,63,1,2,21,7.83,163.96
373,2026-08-31,217,19,0,0,0,11.24,40.64
374,2026-08-31,1179,100,7,2,22,11.83,232.55
375,2026-08-31,80,7,3,0,0,10.82,14.42
376,2026-08-31,3737,278,16,13,40,4.8,299.16
377,2026-08-31,193,22,1,1,2,8.62,27.72
378,2026-08-31,355,13,0,0,1,7.81,46.2
379,2026-08-31,400,28,2,3,3,14.72,98.13
380,2026-08-31,114,7,0,0,0,8.55,16.25
381,2026-08-31,4040,327,20,15,59,10.36,697.72
382,2026-08-31,3287,285,13,14,26,5.84,319.78
383,2026-08-31,371,26,0,2,5,10.9,67.42
384,2026-08-31,553,24,1,1,6,6.34,58.39
385,2026-08-31,398,43,1,2,2,11.78,78.14
386,2026-08-31,2529,252,27,11,19,12.34,520.1
387,2026-08-31,177,14,1,0,4,8.98,26.49
388,2026-08-31,70,6,0,0,0,9.18,10.72
389,2026-08-31,360,15,0,1,9,11.53,69.18
390,2026-08-31,1934,33,3,1,28,4.52,145.74
391,2026-08-31,27,1,0,0,0,5.42,2.44
392,2026-08-31,201,15,0,1,1,10.01,33.52
393,2026-08-31,2591,251,15,2,41,5.88,254.13
394,2026-08-31,114,6,0,0,0,10.59,20.13
395,2026-08-31,984,86,7,1,13,5.15,84.48
396,2026-08-31,1205,74,10,2,14,7.42,148.99
397,2026-08-31,9176,720,66,28,181,11.11,1699.68
398,2026-08-31,4367,120,6,9,4,5.86,426.15
399,2026-08-31,681,47,2,2,16,16.35,185.54
400,2026-08-31,2796,225,14,3,38,9.14,425.81
401,2026-08-31,353,26,5,1,4,6.51,38.29
402,2026-08-31,330,28,0,0,5,7.95,43.71
403,2026-08-31,1551,135,14,4,23,5.42,140.23
404,2026-08-31,115,13,0,0,7,5.78,11.08
405,2026-08-31,744,58,3,4,16,7.35,91.11
406,2026-08-31,64,2,0,1,0,5.61,5.98
407,2026-08-31,915,38,2,0,18,5.87,89.52
408,2026-08-31,2890,229,16,8,38,11.61,558.98
409,2026-08-31,2515,107,11,7,28,8.61,360.77
410,2026-08-31,902,46,7,1,9,8.97,134.82
411,2026-08-31,1882,132,10,4,5,13.01,408.16
412,2026-08-31,3699,253,25,4,48,8.21,506.18
413,2026-08-31,209,12,2,2,2,6.11,21.27
414,2026-08-31,737,31,3,0,6,8.05,98.93
415,2026-08-31,1199,68,7,1,13,13.16,262.95
416,2026-08-31,1167,68,7,2,28,10.67,207.59
417,2026-08-31,3047,282,27,5,29,8.68,440.67
418,2026-08-31,416,41,1,3,5,5.28,36.63
419,2026-08-31,447,34,3,2,6,7.16,53.31
420,2026-08-31,170,15,0,0,1,10.03,28.41
421,2026-08-31,537,37,2,0,8,10.83,96.96
422,2026-08-31,1587,67,4,4,23,10.72,283.44
423,2026-08-31,6988,448,31,11,57,7.41,863.14
424,2026-08-31,3257,246,25,6,39,5.3,287.59
425,2026-08-31,123,7,0,0,0,8.9,18.25
426,2026-08-31,360,29,5,3,6,7.42,44.51
427,2026-08-31,13168,404,44,20,124,9.01,1976.88
428,2026-08-31,4655,181,12,9,131,9.92,769.47
429,2026-08-31,6489,387,21,23,56,9.31,1006.37
430,2026-08-31,386,33,1,1,2,15.48,99.62
431,2026-08-31,148,6,0,1,2,9.95,24.55
432,2026-08-31,2680,175,8,0,8,11.4,509.04
433,2026-08-31,1283,38,4,0,17,5.24,112.03
434,2026-08-31,303,8,2,0,5,13.05,65.88
435,2026-08-31,449,13,0,1,3,7.74,57.89
436,2026-08-31,3192,243,15,17,10,9.6,510.73
437,2026-08-31,2405,166,6,2,28,8.29,332.37
438,2026-08-31,795,51,4,0,10,11.14,147.59
439,2026-08-31,228,21,3,0,2,12.38,47.06
440,2026-08-31,738,56,3,0,9,8.85,108.81
441,2026-08-31,1140,44,4,0,31,13.64,259.1
442,2026-08-31,2092,151,7,5,31,11.59,404.11
443,2026-08-31,417,21,3,1,0,11.85,82.35
444,2026-08-31,3117,290,24,16,24,9.12,473.93
445,2026-08-31,2317,120,10,9,8,7.92,305.7
446,2026-08-31,2951,146,18,9,25,9.29,457.11
447,2026-08-31,1810,86,9,5,19,6.29,189.62
448,2026-08-31,143,20,1,2,0,5.3,12.64
449,2026-08-31,2037,153,15,9,24,11.2,380.38
450,2026-08-31,3035,232,14,10,48,10.13,512.48
451,2026-08-31,1750,110,7,5,8,8.37,244.2
452,2026-08-31,2551,170,14,3,34,9.97,423.88
453,2026-08-31,203,15,3,1,3,9.79,33.12
454,2026-08-31,3657,262,14,7,72,6.35,387.08
455,2026-08-31,4494,169,16,9,100,7.14,534.69
456,2026-08-31,517,37,2,1,8,10.26,88.43
457,2026-08-31,673,14,1,1,8,10.93,122.62
458,2026-08-31,1060,96,7,5,18,11.57,204.46
459,2026-08-31,7543,443,37,18,66,9.28,1166.46
460,2026-08-31,13434,547,56,24,199,9.0,2014.38
461,2026-08-31,56,5,0,0,1,17.04,15.9
462,2026-08-31,2192,233,19,7,25,5.48,200.2
463,2026-08-31,662,29,5,1,8,7.2,79.4
464,2026-08-31,594,40,2,2,7,6.64,65.74
465,2026-08-31,209,14,1,1,2,7.3,25.43
466,2026-08-31,598,48,6,1,15,13.28,132.34
467,2026-08-31,2265,154,3,8,17,11.63,438.93
468,2026-08-31,3221,299,22,6,24,6.33,339.57
469,2026-08-31,173,11,0,0,2,5.78,16.67
470,2026-08-31,2930,127,6,5,29,8.64,421.71
471,2026-08-31,879,54,3,0,5,4.85,71.07
472,2026-08-31,2190,252,12,10,23,10.49,382.71
473,2026-08-31,2716,199,15,5,19,7.22,326.83
474,2026-08-31,337,31,7,1,4,4.14,23.28
475,2026-08-31,817,36,3,0,9,18.39,250.45
476,2026-08-31,252,30,0,1,2,8.71,36.59
477,2026-08-31,430,25,1,1,6,5.31,38.07
478,2026-08-31,2718,201,23,7,43,7.16,324.43
479,2026-08-31,6859,614,58,33,62,14.22,1626.12
480,2026-08-31,940,60,5,3,10,5.6,87.71
481,2026-08-31,939,58,3,1,13,11.23,175.71
482,2026-08-31,707,59,4,1,8,9.23,108.76
483,2026-08-31,5889,422,27,11,106,2.79,273.43
484,2026-08-31,2024,161,14,1,28,9.89,333.56
485,2026-08-31,333,13,2,0,8,3.5,19.42
486,2026-08-31,1269,114,7,5,12,1.5,31.72
487,2026-08-31,592,32,3,0,9,6.15,60.68
488,2026-08-31,191,16,0,1,2,4.7,14.96
489,2026-08-31,956,41,5,1,8,7.13,113.65
490,2026-08-31,251,23,0,0,5,5.97,24.99
491,2026-08-31,491,11,2,2,5,7.77,63.56
492,2026-08-31,1691,148,25,3,31,9.43,265.83
493,2026-08-31,648,66,5,2,7,10.21,110.25
494,2026-08-31,3016,181,7,1,69,11.3,568.09
495,2026-08-31,124,22,1,0,0,10.12,20.91
496,2026-08-31,473,37,2,1,2,9.54,75.23
497,2026-08-31,391,28,6,2,3,8.49,55.31
498,2026-08-31,320,29,1,3,0,3.94,21.04
499,2026-08-31,731,71,13,3,4,8.35,101.79
500,2026-08-31,4504,421,49,13,27,4.03,302.7
501,2026-08-31,355,7,1,0,6,17.3,102.38
502,2026-08-31,12948,847,67,19,72,10.48,2262.51
503,2026-08-31,20431,798,48,45,63,10.65,3626.5
504,2026-08-31,398,15,1,0,6,10.34,68.61
